"","track","artist","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_s","time_signature","chorus_hit","sections","popularity","decade","genre"
"15","We Have Come to Bless the House","Severed Heads",0.000373186217274815,0.000338991717236535,0.00062402496099844,0.000352421617273992,0,0.000143357008960571,1.87755617963338e-05,0.0018869427046206,0.000870174039615515,0.000144303342430736,0.000456605320129059,0.000335053673505495,0.000343112026076514,50.03975,10,0,"80s","edm"
"16","Kiss The Rain","Billie Myers",0.000286823866317637,0.000364082442764278,0.000561622464898596,0.000241625013176092,0.0005005005005005,0.000124262946456309,1.42573784763604e-06,1.08074316569494e-07,0.000259609934470927,0.000172311586109275,0.000461225425715393,0.000381181808142792,0.000343112026076514,41.15531,11,1,"90s","edm"
"17","Please Come Home For Christmas","Eagles",0.000385793859750316,0.000154281269734423,0.000561622464898596,0.000399530896572475,0.0005005005005005,0.000127596830385624,0.000601420401925345,5.79592100957366e-06,8.99019587890062e-05,0.000283735685960856,0.000474655603648071,0.000250358676476374,0.000257334019557386,39.52954,9,1,"70s","edm"
"18","Rock N Roll Fun - T Rex Vol1 Mix","Carbona",0.000249000938891135,0.000391842394411994,6.2402496099844e-05,0.000298024905474057,0,8.91056250198897e-05,3.88563765517711e-07,3.87847345753425e-07,0.000290058013205171,0.000523632381816171,0.00049769912522926,0.000169162831372756,0.000343112026076514,45.37927,5,0,"90s","edm"
"19","Growin'","Loggins & Messina",0.000345449403828714,0.000248771874381457,0.000561622464898596,0.000449403183454448,0.0005005005005005,0.000210640848261304,0.000339365769366889,3.98741934117285e-08,0.00028525042182608,0.000434736651879938,0.000442449606826683,0.000221049046255207,0.000343112026076514,27.59032,7,1,"70s","edm"
"20","Concerto for Harpsichord, Strings, and Continuo No.5 in F minor, BWV 1056 - Piano performance: 2. Largo","Johann Sebastian Bach",0.000230719857301659,4.04120834563869e-06,0.000499219968798752,0.00130783510204961,0.0005005005005005,0.000148509375033149,0.000994000330394143,0.00192616322273049,0.000141823945683192,0.000199710954925237,0.000471758644564773,0.00024832691084221,0.000257334019557386,82.57264,9,0,"90s","edm"
"21","We're on the Move","Maceo Parker",0.000436854811776093,0.000483129927715061,0,0.000224908817295985,0.0005005005005005,0.000265195312559195,0.000296192017642699,0.000276722544442051,0.000330121274697598,0.000526676756129056,0.000458605724791229,0.000360450743932539,0.000343112026076514,43.94792,12,0,"90s","edm"
"22","Yesterdays","Guns N' Roses",0.000228828710930334,0.000453234595171367,0.000374414976599064,0.000267459134081712,0.0005005005005005,0.000167906517894622,6.6869113135606e-05,1.12650043682315e-05,0.000490374320667307,0.000261207316045509,0.000442128298305816,0.000276866163260422,0.000343112026076514,61.81266,7,1,"90s","edm"
"23","Heart Of Stone","Cher",0.000246479410396035,0.000345397859924469,0,0.000375838106544059,0.0005005005005005,0.000120019821455362,0.000271090999198403,0,0.000179483411486073,0.00033670779900505,0.000529669323055496,0.000361616187275469,0.000343112026076514,71.16156,12,1,"90s","edm"
"24","Open Country","Gordon Giltrap",0.000285563102070087,0.000254644171845397,0.000124804992199688,0.000496685150726899,0.0005005005005005,0.00011335205359673,0.000278119284362806,0.00202421451800524,0.00103683720742401,0.000323921426890934,0.000464246762290639,0.000247445068119049,0.000257334019557386,32.72051,7,0,"70s","edm"
"25","Amen","Edens Edge",0.000320864501001488,0.000367285514108245,0.00031201248049922,0.000134420318936728,0.0005005005005005,9.48641518068893e-05,0.000346394054531292,0,0.000241982099414259,0.000264251690358394,0.000463946183351764,0.000322486356489179,0.000343112026076514,47.38287,11,1,"10s","edm"
"26","To Be A Lover","Billy Idol",0.000354274753561564,0.000409459286803814,0.00031201248049922,0.000277164198218717,0.0005005005005005,0.000143660089317781,0.000234945532638616,1.78017573865477e-05,0.000132689522062918,0.000320268177715472,0.000477720990585049,0.00032788605585164,0.000343112026076514,20.45916,12,1,"80s","edm"
"27","Monster","Imagine Dragons",0.000297540362421812,0.000413196203371776,0.000187207488299532,0.000185915872774,0.0005005005005005,0.000249738214341459,0.000167674803207901,6.0573911303063e-07,0.000211534020680015,0.000269731564121586,0.000466265305337052,0.000352021738447474,0.000343112026076514,22.33,11,1,"10s","edm"
